Date,Open Price (USD),High Price (USD),Low Price (USD),Close Price (USD),Volume
2024-08-13,2722.95,2737.19,2613.58,2703.0,13591.89738249
2024-08-14,2703.01,2778.99,2635.0,2664.15,12943.8511961
2024-08-15,2664.16,2675.11,2514.38,2570.08,18533.09183518
2024-08-16,2570.09,2631.6,2550.93,2593.43,14129.17162308
2024-08-17,2593.5,2626.09,2588.86,2613.74,3296.78637741
2024-08-18,2613.74,2685.35,2596.75,2612.65,8207.72502268
2024-08-19,2612.7,2646.46,2561.87,2637.92,8211.84501836
2024-08-20,2637.86,2695.07,2557.06,2573.45,6711.07839401
2024-08-21,2573.05,2662.7,2536.68,2629.76,10084.80126897
2024-08-22,2629.77,2644.94,2586.27,2623.19,6319.95158198
2024-08-23,2623.19,2800.0,2623.18,2764.61,11729.34541452
2024-08-24,2764.88,2820.53,2733.71,2769.76,9276.52495903
2024-08-25,2769.77,2792.86,2735.83,2747.0,4038.87037911
2024-08-26,2747.01,2761.38,2669.69,2681.1,8612.93163115
2024-08-27,2681.11,2700.18,2394.0,2458.44,15315.79276507
2024-08-28,2458.44,2553.69,2421.0,2528.36,19865.13388895
2024-08-29,2528.37,2596.82,2505.87,2528.61,9562.55658006
2024-08-30,2528.62,2551.74,2431.12,2526.84,15217.04057393
2024-08-31,2526.84,2533.33,2493.08,2512.79,2493.48370007
2024-09-01,2512.65,2514.58,2401.0,2427.5,17572.94300297
2024-09-02,2427.51,2564.36,2424.61,2538.48,10960.41814638
2024-09-03,2538.49,2551.53,2414.3,2422.26,10101.29416108
2024-09-04,2424.81,2488.55,2308.0,2450.08,15896.27490611
2024-09-05,2450.4,2465.48,2347.6,2368.47,8336.76045531
2024-09-06,2368.17,2406.23,2150.0,2224.45,24793.74641602
2024-09-07,2224.45,2309.57,2222.0,2273.1,10158.32377342
2024-09-08,2273.11,2333.02,2242.87,2296.92,5762.0483519
2024-09-09,2297.31,2380.0,2274.57,2359.08,10166.24451566
